iter	Passed	Remaining
0	101	151851
1	162	121879
2	259	129263
3	332	124334
4	414	123980
5	482	120166
6	568	121214
7	639	119297
8	721	119531
9	796	118675
10	868	117540
11	933	115698
12	1011	115738
13	1093	116047
14	1185	117383
15	1263	117206
16	1349	117709
17	1446	119132
18	1524	118815
19	1600	118408
20	1671	117703
21	1782	119720
22	1891	121449
23	2005	123365
24	2104	124192
25	2165	122771
26	2246	122575
27	2318	121889
28	2395	121528
29	2493	122179
30	2571	121845
31	2654	121763
32	2729	121354
33	2792	120411
34	2864	119913
35	2931	119194
36	3018	119360
37	3087	118773
38	3189	119489
39	3249	118591
40	3322	118237
41	3394	117831
42	3479	117890
43	3546	117345
44	3613	116829
45	3687	116561
46	3776	116744
47	3844	116304
48	3909	115760
49	4033	116978
50	4137	117556
51	4245	118216
52	4339	118475
53	4447	119105
54	4510	118494
55	4592	118427
56	4662	118030
57	4748	118066
58	4809	117476
59	4877	117069
60	4969	117235
61	5052	117190
62	5137	117180
63	5209	116878
64	5267	116285
65	5336	115953
66	5386	115212
67	5469	115182
68	5543	114966
69	5600	114406
70	5696	114647
71	5787	114788
72	5852	114403
73	5921	114116
74	5981	113649
75	6049	113345
76	6119	113097
77	6160	112314
78	6228	112036
79	6336	112469
80	6371	111619
81	6429	111188
82	6510	111140
83	6591	111117
84	6686	111306
85	6793	111702
86	6859	111402
87	6959	111669
88	7016	111234
89	7093	111138
90	7204	111554
91	7264	111172
92	7317	110713
93	7396	110638
94	7459	110324
95	7549	110408
96	7596	109881
97	7638	109281
98	7704	109030
99	7781	108935
100	7856	108830
101	7938	108797
102	8000	108511
103	8096	108673
104	8193	108862
105	8258	108612
106	8312	108218
107	8387	108101
108	8444	107759
109	8526	107742
110	8589	107484
111	8675	107508
112	8739	107274
113	8848	107574
114	8927	107516
115	8990	107263
116	9104	107624
117	9193	107677
118	9294	107859
119	9381	107888
120	9472	107960
121	9521	107545
122	9573	107181
123	9631	106882
124	9689	106586
125	9789	106748
126	9852	106515
127	9898	106101
128	9961	105872
129	10027	105672
130	10084	105385
131	10176	105468
132	10264	105498
133	10333	105343
134	10403	105187
135	10494	105250
136	10581	105272
137	10618	104797
138	10696	104729
139	10767	104594
140	10852	104596
141	10922	104453
142	10974	104140
143	11048	104038
144	11108	103809
145	11163	103528
146	11226	103326
147	11289	103128
148	11362	103024
149	11451	103063
150	11530	103014
151	11643	103261
152	11728	103258
153	11858	103647
154	11956	103754
155	12033	103677
156	12089	103412
157	12141	103129
158	12202	102915
159	12287	102907
160	12372	102900
161	12453	102854
162	12528	102763
163	12618	102796
164	12712	102855
165	12773	102651
166	12833	102440
167	12909	102353
168	12981	102242
169	13050	102098
170	13126	102016
171	13203	101941
172	13268	101773
173	13325	101546
174	13416	101578
175	13495	101520
176	13587	101563
177	13668	101518
178	13752	101493
179	13839	101492
180	13953	101686
181	14041	101686
182	14173	102003
183	14285	102169
184	14368	102133
185	14472	102244
186	14548	102152
187	14618	102015
188	14687	101880
189	14776	101877
190	14837	101689
191	14912	101594
192	14959	101308
193	15048	101308
194	15146	101366
195	15250	101462
196	15325	101365
197	15387	101181
198	15478	101193
199	15565	101174
200	15629	101006
201	15678	100747
202	15766	100735
203	15816	100484
204	15877	100298
205	15937	100112
206	16016	100042
207	16054	99724
208	16148	99752
209	16196	99491
210	16265	99365
211	16384	99541
212	16499	99692
213	16610	99821
214	16716	99909
215	16805	99901
216	16861	99690
217	16942	99634
218	17025	99585
219	17104	99518
220	17204	99565
221	17263	99380
222	17354	99378
223	17433	99308
224	17506	99201
225	17575	99076
226	17636	98903
227	17691	98701
228	17741	98470
229	17790	98233
230	17837	97989
231	17876	97704
232	17938	97543
233	17989	97330
234	18100	97436
235	18178	97361
236	18213	97062
237	18310	97094
238	18399	97079
239	18458	96905
240	18521	96759
241	18655	96979
242	18717	96822
243	18783	96688
244	18867	96645
245	18987	96788
246	19089	96840
247	19210	96981
248	19280	96867
249	19371	96856
250	19451	96791
251	19553	96835
252	19634	96774
253	19708	96680
254	19743	96394
255	19803	96233
256	19881	96159
257	19945	96014
258	20035	95999
259	20103	95878
260	20186	95828
261	20249	95682
262	20336	95648
263	20411	95561
264	20486	95476
265	20590	95521
266	20650	95364
267	20765	95457
268	20861	95468
269	20941	95400
270	21035	95396
271	21098	95254
272	21135	94994
273	21196	94842
274	21284	94813
275	21379	94815
276	21480	94841
277	21607	94978
278	21723	95068
279	21807	95018
280	21896	94988
281	21980	94936
282	22042	94789
283	22091	94590
284	22171	94520
285	22251	94453
286	22349	94460
287	22422	94361
288	22496	94266
289	22585	94236
290	22696	94296
291	22780	94243
292	22893	94307
293	22976	94252
294	23060	94197
295	23160	94205
296	23233	94106
297	23325	94084
298	23440	94154
299	23531	94125
300	23596	93994
301	23727	94126
302	23832	94149
303	23930	94148
304	24022	94119
305	24138	94187
306	24228	94151
307	24296	94030
308	24383	93983
309	24480	93974
310	24575	93955
311	24672	93947
312	24738	93816
313	24838	93817
314	24909	93707
315	25022	93756
316	25122	93753
317	25227	93768
318	25315	93722
319	25387	93618
320	25481	93590
321	25540	93438
322	25636	93418
323	25711	93324
324	25816	93338
325	25907	93297
326	25998	93260
327	26079	93184
328	26161	93116
329	26241	93038
330	26358	93089
331	26468	93116
332	26563	93091
333	26655	93055
334	26707	92879
335	26812	92887
336	26887	92791
337	26967	92709
338	27065	92693
339	27132	92570
340	27240	92586
341	27317	92495
342	27385	92375
343	27480	92348
344	27575	92316
345	27639	92186
346	27732	92147
347	27802	92036
348	27882	91957
349	27930	91771
350	28027	91747
351	28109	91676
352	28175	91551
353	28259	91484
354	28333	91384
355	28391	91235
356	28467	91143
357	28571	91141
358	28668	91114
359	28766	91095
360	28866	91077
361	28960	91043
362	29102	91157
363	29208	91156
364	29307	91134
365	29387	91052
366	29486	91029
367	29580	90991
368	29660	90910
369	29718	90762
370	29777	90618
371	29857	90536
372	29952	90500
373	30028	90406
374	30076	90228
375	30165	90175
376	30235	90065
377	30315	89985
378	30374	89839
379	30425	89675
380	30530	89669
381	30621	89619
382	30693	89516
383	30788	89478
384	30881	89435
